iter	RMSE
0	0.3904893967
1	0.3840332306
2	0.3774858875
3	0.3717618963
4	0.3662287727
5	0.3605577094
6	0.3558626289
7	0.3499690941
8	0.3448079867
9	0.3393343028
10	0.333858111
11	0.3287472304
12	0.3239881047
13	0.3195318623
14	0.3152080861
15	0.3106520521
16	0.3066134261
17	0.3026006444
18	0.2987227654
19	0.2949347798
20	0.2911090481
21	0.2873350084
22	0.2837600629
23	0.2806936356
24	0.2771537748
25	0.2735092259
26	0.2703735052
27	0.2676865901
28	0.2643561885
29	0.2612584575
30	0.2582536051
31	0.255447834
32	0.2525777385
33	0.2497101999
34	0.2469952488
35	0.2446199816
36	0.2420839795
37	0.2397259482
38	0.2376232249
39	0.2352007618
40	0.2327174031
41	0.2305553383
42	0.2285048284
43	0.2266834938
44	0.2244030147
45	0.2223147616
46	0.2206022464
47	0.2185361199
48	0.2167368482
49	0.2150678146
50	0.213469332
51	0.2119132148
52	0.2100847602
53	0.2086141441
54	0.2070305461
55	0.2055182617
56	0.203893629
57	0.2023031118
58	0.2009653329
59	0.1994377393
60	0.1981338815
61	0.1967375774
62	0.1954110819
63	0.1941584478
64	0.192997528
65	0.1917240958
66	0.1906287113
67	0.1895083287
68	0.1882500496
69	0.1871158527
70	0.1859514494
71	0.1849956409
72	0.1840079263
73	0.1829680764
74	0.1818933594
75	0.1808347818
76	0.1798947075
77	0.1790895526
78	0.178211745
79	0.1771919738
80	0.176393914
81	0.1757143646
82	0.1749722421
83	0.1742840195
84	0.1734768689
85	0.1727568626
86	0.1720257816
87	0.1712864078
88	0.1706228981
89	0.1698344484
90	0.1692604218
91	0.1686029941
92	0.1677845537
93	0.1672081046
94	0.1665475104
95	0.1659096083
96	0.1653718323
97	0.1648300032
98	0.164185698
99	0.1636417178
100	0.1631042424
101	0.1625628264
102	0.1620557466
103	0.1615186671
104	0.1609790376
105	0.1607100335
106	0.1601119187
107	0.159590616
108	0.1591614708
109	0.1586828632
110	0.158210752
111	0.1577092277
112	0.1573069315
113	0.1568055468
114	0.1564173668
115	0.1559541868
116	0.1555792978
117	0.1552459302
118	0.1547692926
119	0.1543515504
120	0.1539731538
121	0.1535897264
122	0.1532785707
123	0.152949304
124	0.1525926385
125	0.1521999003
126	0.151840614
127	0.1515896497
128	0.1512465013
129	0.1509213141
130	0.1505740512
131	0.1502322795
132	0.1499094493
133	0.1495325926
134	0.1492078054
135	0.1487974924
136	0.1484797488
137	0.1482100579
138	0.1479315891
139	0.1476922598
140	0.147370247
141	0.1471584568
142	0.146868972
143	0.1466032064
144	0.1463536185
145	0.1461060133
146	0.1458366752
147	0.1454871307
148	0.1452423768
149	0.144999373
150	0.1447982293
151	0.144465804
152	0.144171097
153	0.14393805
154	0.1437027515
155	0.1435005115
156	0.1432068063
157	0.1429698401
158	0.1427788391
159	0.1424622664
160	0.1422050578
161	0.1419569935
162	0.1416537976
163	0.14143423
164	0.1414061408
165	0.1411016722
166	0.1409486739
167	0.1407418222
168	0.1405173852
169	0.1403477782
170	0.1402454675
171	0.139932837
172	0.1397843692
173	0.1395399856
174	0.139340339
175	0.1391714722
176	0.1389909337
177	0.1387765682
178	0.1386523325
179	0.1385551383
180	0.1382791285
181	0.1380319366
182	0.1378001469
183	0.1375544724
184	0.1373856867
185	0.1371704309
186	0.1368745541
187	0.136742711
188	0.1365620305
189	0.1363332213
190	0.1361583876
191	0.1359666098
192	0.1357381848
193	0.1355662056
194	0.1354195262
195	0.1351931293
196	0.1349313804
197	0.1347562949
198	0.1345900546
199	0.1344628869
200	0.1342709896
201	0.1340816819
202	0.133883278
203	0.133630335
204	0.1335109686
205	0.1334193524
206	0.1332939932
207	0.1331090278
208	0.1329626773
209	0.1327693832
210	0.1326054948
211	0.1325774263
212	0.1324280573
213	0.1322440327
214	0.1320222666
215	0.1317978706
216	0.1316556785
217	0.1314217807
218	0.1313546074
219	0.1312220966
220	0.1311053512
221	0.1308538869
222	0.1306979253
223	0.1304823822
224	0.130436304
225	0.1304123022
226	0.1303890202
227	0.1303662325
228	0.1303426858
229	0.1303209322
230	0.1303016108
231	0.1301246447
232	0.1299405836
233	0.1297959793
234	0.1296686707
235	0.1294705577
236	0.1294335692
237	0.1293133542
238	0.1291233874
239	0.1290149537
240	0.1288918601
241	0.128769891
242	0.1286519319
243	0.1286246971
244	0.1284664929
245	0.1284292419
246	0.1282760095
247	0.1281222541
248	0.1279355326
249	0.1277540757
250	0.127597232
251	0.1275623576
252	0.127380968
253	0.1273186866
254	0.1272324075
255	0.12717892
256	0.1271634639
257	0.1270522963
