iter	Passed	Remaining
0	1	6138
1	1	4342
2	2	3589
3	2	3266
4	3	3049
5	3	2968
6	4	2865
7	4	2787
8	4	2727
9	5	2682
10	5	2668
11	6	2630
12	6	2591
13	7	2571
14	7	2571
15	8	2566
16	8	2540
17	9	2524
18	9	2522
19	10	2536
20	10	2516
21	11	2505
22	11	2490
23	11	2482
24	12	2480
25	12	2469
26	13	2451
27	13	2432
28	14	2444
29	14	2447
30	15	2440
31	15	2432
32	16	2418
33	16	2412
34	16	2406
35	17	2397
36	17	2389
37	18	2377
38	18	2368
39	19	2374
40	19	2377
41	20	2377
42	20	2371
43	21	2365
44	21	2357
45	21	2361
46	22	2358
47	22	2360
48	23	2356
49	23	2356
50	24	2359
51	24	2358
52	25	2360
53	25	2357
54	26	2360
55	26	2357
56	27	2350
57	27	2352
58	28	2356
59	28	2357
60	29	2352
61	29	2357
62	30	2358
63	30	2361
64	31	2355
65	31	2354
66	31	2354
67	32	2353
68	32	2351
69	33	2348
70	33	2343
71	34	2342
72	34	2341
73	35	2338
74	35	2334
75	35	2331
76	36	2332
77	36	2331
78	37	2333
79	38	2338
80	38	2338
81	38	2333
82	39	2330
83	39	2331
84	40	2327
85	40	2328
86	41	2327
87	41	2323
88	42	2324
89	42	2318
90	42	2317
91	43	2313
92	43	2313
93	44	2313
94	44	2312
95	45	2317
96	45	2313
97	46	2315
98	46	2312
99	47	2310
100	47	2310
101	48	2310
102	48	2306
103	48	2302
104	49	2300
105	49	2299
106	50	2295
107	50	2293
108	51	2289
109	51	2287
110	51	2286
111	52	2287
112	52	2287
113	53	2285
114	53	2284
115	54	2286
116	54	2286
117	55	2288
118	55	2288
119	56	2287
120	56	2285
121	57	2288
122	57	2287
123	58	2289
124	58	2286
125	59	2284
126	59	2281
127	59	2277
128	60	2278
129	61	2287
130	61	2285
131	61	2284
132	62	2284
133	62	2283
134	63	2284
135	63	2285
136	64	2281
137	64	2280
138	65	2281
139	65	2282
140	66	2280
141	66	2277
142	67	2278
143	67	2275
144	67	2275
145	68	2283
146	69	2283
147	69	2282
148	70	2282
149	70	2279
150	71	2281
151	71	2283
152	72	2286
153	72	2286
154	73	2284
155	73	2284
156	74	2284
157	74	2284
158	75	2283
159	75	2281
160	75	2278
161	76	2281
162	76	2281
163	77	2281
164	77	2281
165	78	2279
166	78	2278
167	79	2279
168	79	2277
169	80	2275
170	80	2275
171	81	2274
172	81	2274
173	81	2272
174	82	2271
175	82	2272
176	83	2271
177	83	2271
178	84	2271
179	84	2269
180	85	2270
181	85	2272
182	86	2273
183	86	2272
184	87	2271
185	87	2271
186	88	2270
187	88	2269
188	89	2267
189	89	2267
190	90	2266
191	90	2265
192	90	2263
193	91	2264
194	91	2263
195	92	2262
196	92	2259
197	93	2259
198	93	2259
199	94	2258
200	94	2259
201	95	2259
202	95	2260
203	96	2261
204	96	2258
205	97	2258
206	97	2256
207	97	2256
208	98	2255
209	98	2255
210	99	2253
211	99	2253
212	100	2252
213	100	2252
214	101	2251
215	101	2251
216	102	2251
217	102	2251
218	103	2249
219	103	2249
220	103	2247
221	104	2245
222	104	2247
223	105	2246
224	105	2245
225	106	2245
226	106	2243
227	107	2256
228	108	2257
229	108	2255
230	109	2253
231	109	2251
232	109	2249
233	110	2248
234	110	2246
235	111	2245
236	111	2244
237	112	2243
238	112	2243
239	113	2243
240	113	2242
241	113	2240
242	114	2241
243	115	2242
244	115	2243
245	116	2243
246	116	2243
247	117	2242
248	117	2241
249	117	2240
250	118	2240
251	118	2240
252	119	2239
253	119	2238
254	120	2236
255	120	2235
256	121	2235
257	121	2234
258	122	2233
259	122	2235
260	123	2235
261	123	2234
262	124	2234
263	124	2233
264	124	2232
265	125	2231
266	125	2231
267	126	2230
268	126	2228
269	127	2227
270	127	2226
271	128	2225
272	128	2225
273	128	2223
274	129	2224
275	129	2224
276	130	2224
277	130	2223
278	131	2223
279	131	2224
280	132	2224
281	132	2224
282	133	2223
283	133	2224
284	134	2223
285	134	2223
286	135	2222
287	135	2221
288	136	2221
289	136	2221
290	137	2221
291	137	2221
292	138	2232
293	139	2231
294	139	2230
295	140	2240
296	141	2238
297	141	2236
298	142	2233
299	142	2232
300	142	2231
301	143	2229
302	143	2228
303	144	2228
304	144	2227
305	145	2226
306	145	2226
307	146	2225
308	146	2223
309	146	2222
310	147	2221
311	147	2221
312	148	2221
313	148	2221
314	149	2221
315	149	2220
316	150	2218
317	150	2218
318	151	2216
319	152	2224
320	152	2223
321	153	2223
322	153	2222
323	154	2224
324	154	2223
325	154	2221
326	155	2220
327	155	2219
328	156	2218
329	156	2216
330	157	2216
331	157	2215
332	158	2214
333	158	2212
334	158	2211
335	159	2211
336	159	2210
337	160	2208
338	160	2209
339	161	2209
340	161	2207
341	161	2206
342	163	2215
343	163	2214
344	164	2215
345	164	2215
346	165	2214
347	165	2213
348	166	2212
349	166	2211
350	166	2210
351	167	2209
352	167	2208
353	168	2207
354	168	2207
355	169	2207
356	169	2208
357	170	2206
358	170	2206
359	171	2204
360	171	2204
361	171	2203
362	172	2201
363	172	2201
364	173	2200
365	173	2199
366	174	2199
367	174	2197
368	174	2196
369	175	2195
370	175	2194
371	176	2193
372	176	2192
373	177	2192
374	177	2192
375	178	2192
376	178	2191
377	179	2189
378	179	2189
379	180	2192
380	180	2192
381	181	2190
382	181	2189
383	182	2188
384	182	2187
385	182	2186
386	183	2185
387	183	2184
388	184	2183
389	184	2184
390	185	2183
391	185	2181
392	186	2180
393	186	2179
394	186	2179
395	187	2179
396	187	2178
397	188	2178
398	188	2176
399	189	2177
400	189	2175
401	190	2175
402	190	2173
403	191	2173
404	191	2173
405	191	2171
406	192	2171
407	192	2170
408	193	2171
409	193	2171
410	194	2171
411	194	2171
412	195	2170
413	195	2169
414	196	2170
415	196	2170
416	197	2170
417	197	2170
418	198	2170
419	199	2171
420	199	2170
421	200	2169
422	200	2170
423	201	2170
424	201	2170
425	202	2169
426	202	2169
427	202	2168
428	203	2167
429	203	2167
430	204	2167
431	204	2166
432	205	2166
433	205	2167
434	206	2167
435	207	2167
436	207	2167
437	208	2167
438	208	2168
439	209	2167
440	209	2166
441	210	2174
442	211	2174
443	211	2173
444	212	2173
445	212	2173
446	213	2172
447	213	2171
448	214	2170
449	214	2170
450	215	2170
451	215	2170
452	216	2170
453	216	2169
454	217	2169
455	217	2169
456	218	2168
457	218	2168
458	219	2168
459	219	2167
460	220	2167
461	220	2167
462	221	2166
463	221	2165
464	222	2165
465	222	2164
466	223	2165
467	223	2165
468	224	2166
469	224	2166
470	225	2165
471	225	2166
472	226	2166
473	226	2166
474	227	2166
475	227	2166
476	228	2165
477	228	2165
478	229	2164
479	229	2164
480	230	2164
481	230	2163
482	231	2165
483	231	2164
484	232	2163
485	232	2162
486	233	2162
487	233	2161
488	234	2161
489	234	2161
490	235	2160
491	235	2159
492	236	2159
493	236	2160
494	237	2159
495	237	2159
496	238	2159
497	238	2158
498	239	2158
499	239	2158
500	240	2157
501	240	2157
502	241	2156
503	241	2156
504	242	2156
505	242	2155
506	243	2155
507	243	2154
508	244	2153
509	244	2153
510	245	2153
511	245	2152
512	246	2151
513	246	2151
514	247	2151
515	247	2151
516	248	2151
517	248	2150
518	249	2151
519	249	2151
520	250	2150
521	250	2150
522	251	2149
523	251	2149
524	252	2149
525	252	2149
526	253	2148
527	253	2148
528	254	2148
529	254	2148
530	255	2148
531	255	2147
532	256	2146
533	256	2146
534	257	2146
535	257	2146
536	258	2146
537	258	2146
538	259	2146
539	259	2147
540	260	2146
541	261	2146
542	261	2146
543	262	2147
544	262	2146
545	263	2146
546	263	2146
547	264	2145
548	264	2145
549	265	2144
550	265	2143
551	266	2143
552	266	2143
553	266	2142
554	267	2141
555	267	2141
556	268	2140
557	268	2140
558	269	2139
559	269	2139
560	270	2140
561	271	2140
562	271	2140
563	272	2139
564	272	2139
565	273	2139
566	273	2139
567	274	2138
568	274	2137
569	274	2137
570	275	2136
571	275	2135
572	276	2134
573	276	2134
574	277	2132
575	277	2133
576	278	2132
577	278	2131
578	279	2130
579	279	2129
580	279	2129
581	280	2128
582	280	2127
583	281	2126
584	281	2126
585	282	2125
586	282	2124
587	282	2123
588	283	2122
589	283	2121
590	284	2120
591	284	2119
592	285	2118
593	285	2118
594	286	2117
595	286	2116
596	286	2116
597	287	2115
598	287	2114
599	288	2113
600	288	2112
601	289	2111
602	289	2111
603	290	2110
604	290	2110
605	290	2109
606	291	2108
607	291	2107
608	292	2107
609	292	2106
610	293	2106
611	293	2106
612	294	2104
613	294	2103
614	294	2102
615	295	2102
616	295	2101
617	296	2101
618	296	2101
619	297	2101
620	297	2100
621	298	2100
622	298	2099
623	299	2099
624	299	2099
625	300	2100
626	301	2101
627	301	2101
628	302	2101
629	302	2101
630	303	2101
631	303	2100
632	304	2100
633	305	2100
634	305	2100
635	305	2099
636	306	2098
637	306	2098
638	307	2098
639	307	2097
640	308	2097
641	308	2097
642	309	2097
643	310	2097
644	310	2097
645	311	2096
646	311	2095
647	311	2095
648	312	2094
649	313	2095
650	313	2094
651	313	2093
652	314	2093
653	314	2092
654	315	2092
655	316	2092
656	316	2092
657	317	2092
658	317	2092
659	318	2091
660	318	2091
661	319	2091
662	319	2091
663	320	2090
664	320	2090
665	321	2090
666	321	2089
667	322	2089
668	322	2088
669	323	2088
670	323	2088
671	324	2089
672	324	2089
673	325	2088
674	325	2088
675	326	2087
676	326	2087
677	327	2087
678	328	2087
679	328	2086
680	329	2086
681	329	2086
682	329	2085
683	330	2085
684	330	2084
685	331	2083
686	331	2083
687	332	2082
688	332	2082
689	333	2081
690	333	2080
691	334	2080
692	334	2079
693	335	2078
694	335	2078
695	335	2077
696	336	2076
697	336	2076
698	337	2075
699	337	2075
700	338	2074
701	338	2074
702	339	2074
703	339	2073
704	340	2072
705	340	2071
706	341	2071
707	341	2070
708	342	2069
709	342	2069
710	342	2068
711	343	2068
712	343	2067
713	344	2066
714	344	2066
715	345	2065
716	345	2064
717	346	2064
718	346	2063
719	347	2062
720	347	2062
721	347	2061
722	348	2061
723	348	2060
724	349	2063
725	350	2062
726	350	2062
727	351	2061
728	351	2060
729	352	2060
730	352	2059
731	353	2059
732	353	2058
733	354	2057
734	354	2057
735	355	2058
736	355	2057
737	356	2056
738	357	2059
739	357	2058
740	358	2058
741	358	2057
742	359	2057
743	359	2056
744	360	2056
745	360	2056
746	361	2056
747	361	2056
748	362	2055
749	362	2055
750	363	2054
751	363	2054
752	364	2053
753	364	2052
754	365	2052
755	365	2051
756	365	2050
757	366	2050
758	366	2049
759	367	2048
760	367	2047
761	368	2047
762	368	2046
763	369	2046
764	369	2045
765	369	2044
766	370	2044
767	370	2043
768	371	2043
769	371	2042
770	372	2045
771	373	2045
772	374	2045
773	374	2044
774	374	2043
775	375	2042
776	375	2042
777	376	2042
778	376	2042
779	377	2041
780	377	2041
781	378	2041
782	378	2041
783	379	2041
784	380	2041
785	380	2041
786	381	2040
787	382	2044
788	382	2043
789	383	2043
790	384	2048
791	385	2048
792	385	2047
793	386	2047
794	387	2047
795	387	2046
796	387	2045
797	388	2044
798	388	2044
799	389	2043
800	389	2042
801	390	2041
802	390	2041
803	391	2040
804	391	2039
805	391	2039
806	392	2038
807	392	2037
808	393	2037
809	393	2036
810	394	2035
811	394	2035
812	395	2035
813	395	2034
814	396	2034
815	396	2033
816	397	2033
817	397	2033
818	398	2032
819	398	2032
820	399	2031
821	399	2031
822	400	2031
823	400	2030
824	401	2030
825	401	2030
826	402	2030
827	402	2029
828	403	2029
829	403	2028
830	404	2028
831	404	2028
832	405	2027
833	405	2027
834	406	2027
835	406	2026
836	407	2026
837	407	2025
838	408	2025
839	408	2024
840	409	2024
841	409	2023
842	410	2022
843	410	2021
844	411	2021
845	411	2020
846	411	2019
847	412	2019
848	412	2018
849	413	2018
850	413	2017
851	414	2016
852	414	2015
853	415	2015
854	415	2014
855	416	2013
856	416	2013
857	417	2013
858	417	2012
859	417	2012
860	418	2011
861	418	2011
862	419	2010
863	419	2009
864	420	2009
865	420	2008
866	421	2007
867	421	2007
868	422	2006
869	422	2007
870	423	2006
871	423	2005
872	424	2005
873	424	2004
874	425	2004
875	425	2004
876	426	2003
877	426	2003
878	427	2002
879	427	2002
880	428	2002
881	428	2002
882	429	2003
883	430	2002
884	430	2002
885	431	2001
886	431	2001
887	432	2001
888	432	2001
889	433	2000
890	433	2000
891	434	2000
892	434	2000
893	435	1999
894	435	1999
895	436	1998
896	436	1998
897	437	1997
898	437	1997
899	438	1996
900	438	1996
901	439	1996
902	439	1996
903	440	1995
904	441	1995
905	441	1995
906	442	1995
907	442	1995
908	443	1995
909	443	1995
910	444	1994
911	444	1994
912	445	1993
913	445	1993
914	446	1992
915	446	1992
916	447	1992
917	448	1993
918	448	1992
919	449	1992
920	449	1991
921	450	1991
922	450	1991
923	451	1990
924	451	1990
925	452	1990
926	452	1990
927	453	1989
928	453	1989
929	454	1988
930	455	1991
931	456	1990
932	456	1989
933	457	1992
934	458	1991
935	458	1990
936	458	1989
937	459	1989
938	459	1988
939	460	1988
940	460	1987
941	461	1986
942	461	1985
943	462	1985
944	462	1984
945	462	1984
946	463	1983
947	463	1982
948	464	1981
949	464	1981
950	465	1980
951	465	1980
952	466	1979
953	466	1978
954	466	1977
955	467	1977
956	467	1976
957	468	1975
958	468	1975
959	469	1974
960	469	1973
961	470	1973
962	470	1972
963	470	1971
964	471	1971
965	471	1970
966	472	1969
967	472	1969
968	473	1968
969	473	1968
970	474	1967
971	474	1967
972	475	1966
973	475	1965
974	476	1965
975	476	1964
976	476	1963
977	477	1962
978	477	1962
979	478	1961
980	478	1961
981	479	1963
982	480	1963
983	480	1963
984	481	1962
985	481	1961
986	482	1961
987	482	1960
988	483	1959
989	483	1959
990	484	1958
991	484	1958
992	485	1957
993	485	1957
994	486	1957
995	486	1957
996	487	1956
997	487	1956
998	488	1955
999	488	1955
1000	489	1955
1001	489	1954
1002	490	1954
1003	490	1953
1004	491	1952
1005	491	1952
1006	492	1952
1007	492	1952
1008	493	1951
1009	493	1950
1010	494	1951
1011	495	1950
1012	495	1950
1013	496	1950
1014	496	1949
1015	497	1949
1016	497	1948
1017	498	1948
1018	498	1948
1019	499	1947
1020	499	1947
1021	500	1946
1022	500	1945
1023	501	1945
1024	501	1945
1025	502	1944
1026	502	1944
1027	503	1944
1028	503	1943
1029	504	1943
1030	504	1943
1031	505	1942
1032	505	1942
1033	506	1942
1034	506	1941
1035	507	1941
1036	507	1941
1037	508	1940
1038	508	1939
1039	509	1939
1040	509	1939
1041	510	1939
1042	511	1938
1043	511	1938
1044	511	1937
1045	512	1937
1046	512	1936
1047	513	1936
1048	513	1935
1049	514	1934
1050	514	1934
1051	515	1933
1052	515	1932
1053	516	1932
1054	516	1931
1055	517	1931
1056	517	1931
1057	518	1930
1058	518	1930
1059	519	1930
1060	519	1929
1061	520	1928
1062	520	1928
1063	521	1927
1064	521	1926
1065	521	1926
1066	522	1925
1067	522	1924
1068	523	1924
1069	523	1923
1070	524	1923
1071	524	1922
1072	525	1922
1073	525	1922
1074	526	1921
1075	526	1920
1076	527	1920
1077	527	1919
1078	528	1918
1079	528	1918
1080	528	1917
1081	529	1917
1082	529	1916
1083	530	1915
1084	530	1915
1085	531	1914
1086	531	1914
1087	532	1913
1088	532	1913
1089	533	1913
1090	533	1912
1091	534	1912
1092	534	1912
1093	535	1913
1094	536	1913
1095	537	1913
1096	537	1912
1097	538	1912
1098	538	1912
1099	539	1911
1100	539	1911
1101	540	1910
1102	540	1910
1103	541	1912
1104	542	1911
1105	542	1911
1106	543	1911
1107	543	1910
1108	544	1910
1109	544	1909
1110	545	1909
1111	545	1908
1112	546	1907
1113	546	1907
1114	547	1906
1115	547	1905
1116	548	1905
1117	548	1904
1118	548	1903
1119	549	1903
1120	549	1903
1121	550	1902
1122	550	1902
1123	551	1901
1124	551	1901
1125	552	1900
1126	552	1900
1127	553	1899
1128	553	1898
1129	554	1898
1130	554	1897
1131	555	1896
1132	555	1896
1133	556	1895
1134	556	1895
1135	557	1895
1136	557	1895
1137	558	1894
1138	558	1894
1139	559	1893
1140	559	1893
1141	560	1893
1142	560	1892
1143	561	1891
1144	561	1891
1145	562	1891
1146	562	1890
1147	563	1890
1148	563	1889
1149	564	1889
1150	565	1889
1151	565	1889
1152	566	1889
1153	566	1888
1154	567	1888
1155	567	1888
1156	568	1887
1157	568	1887
1158	569	1886
1159	569	1885
1160	570	1885
1161	570	1885
1162	571	1884
1163	571	1884
1164	572	1884
1165	572	1883
1166	573	1883
1167	573	1883
1168	574	1882
1169	574	1882
1170	575	1881
1171	575	1880
1172	576	1880
1173	576	1880
1174	577	1879
1175	577	1879
1176	578	1878
1177	578	1878
1178	579	1877
1179	579	1876
1180	580	1876
1181	580	1876
1182	581	1875
1183	581	1875
1184	582	1874
1185	582	1874
1186	583	1873
1187	583	1873
1188	584	1872
1189	584	1872
1190	585	1871
1191	585	1870
1192	586	1870
1193	586	1869
1194	586	1868
1195	587	1868
1196	587	1867
1197	588	1867
1198	588	1866
1199	589	1865
1200	589	1865
1201	590	1864
1202	590	1863
1203	591	1863
1204	591	1862
1205	592	1862
1206	592	1862
1207	593	1861
1208	593	1861
1209	594	1861
1210	594	1860
1211	595	1860
1212	595	1860
1213	596	1859
1214	596	1859
1215	597	1858
1216	597	1858
1217	598	1857
1218	598	1857
1219	599	1856
1220	599	1856
1221	600	1856
1222	601	1856
1223	601	1855
1224	601	1854
1225	602	1854
1226	603	1854
1227	603	1854
1228	604	1853
1229	604	1852
1230	605	1852
1231	605	1852
1232	606	1851
1233	606	1850
1234	606	1850
1235	607	1850
1236	607	1849
1237	608	1848
1238	608	1848
1239	609	1847
1240	610	1849
1241	611	1848
1242	611	1848
1243	611	1847
1244	612	1847
1245	612	1846
1246	613	1846
1247	613	1845
1248	614	1845
1249	614	1844
1250	615	1844
1251	615	1843
1252	616	1843
1253	616	1842
1254	617	1841
1255	617	1841
1256	618	1841
1257	618	1840
1258	619	1840
1259	619	1839
1260	620	1839
1261	620	1838
1262	621	1837
1263	621	1837
1264	622	1836
1265	622	1836
1266	623	1835
1267	623	1835
1268	623	1834
1269	624	1834
1270	625	1833
1271	625	1833
1272	625	1832
1273	626	1832
1274	626	1831
1275	627	1830
1276	627	1830
1277	628	1829
1278	628	1829
1279	629	1828
1280	629	1828
1281	630	1827
1282	630	1827
1283	631	1826
1284	631	1825
1285	632	1825
1286	632	1824
1287	633	1824
1288	633	1823
1289	633	1822
1290	634	1822
1291	634	1821
1292	635	1821
1293	635	1820
1294	636	1820
1295	636	1819
1296	637	1819
1297	637	1819
1298	638	1818
1299	638	1818
1300	639	1817
1301	639	1817
1302	640	1816
1303	640	1816
1304	641	1816
1305	642	1816
1306	642	1815
1307	643	1815
1308	643	1814
1309	644	1814
1310	644	1813
1311	645	1813
1312	645	1813
1313	646	1812
1314	646	1812
1315	647	1812
1316	647	1811
1317	648	1811
1318	649	1811
1319	649	1810
1320	650	1810
1321	650	1809
1322	651	1809
1323	651	1809
1324	652	1808
1325	652	1808
1326	653	1807
1327	653	1807
1328	654	1807
1329	654	1806
1330	655	1805
1331	655	1805
1332	656	1804
1333	656	1804
1334	657	1804
1335	657	1803
1336	658	1803
1337	658	1802
1338	659	1801
1339	659	1801
1340	659	1800
1341	660	1799
1342	660	1799
1343	661	1798
1344	661	1798
1345	662	1798
1346	662	1797
1347	663	1796
1348	663	1796
1349	664	1795
1350	664	1795
1351	665	1795
1352	665	1794
1353	666	1794
1354	666	1793
1355	667	1793
1356	667	1792
1357	668	1792
1358	668	1791
1359	669	1790
1360	669	1790
1361	670	1789
1362	670	1789
1363	671	1789
1364	671	1789
1365	672	1788
1366	672	1788
1367	673	1788
1368	674	1787
1369	674	1787
1370	675	1787
1371	675	1786
1372	676	1786
1373	676	1786
1374	677	1785
1375	677	1785
1376	678	1785
1377	678	1784
1378	679	1783
1379	679	1783
1380	680	1782
1381	680	1782
1382	681	1781
1383	681	1780
1384	682	1780
1385	682	1779
1386	682	1779
1387	683	1778
1388	683	1777
1389	684	1777
1390	684	1776
1391	685	1775
1392	685	1775
1393	686	1774
1394	686	1774
1395	687	1773
1396	687	1773
1397	687	1772
1398	688	1772
1399	688	1771
1400	689	1770
1401	689	1770
1402	690	1769
1403	690	1769
1404	691	1769
1405	691	1768
1406	692	1768
1407	692	1767
1408	693	1767
1409	694	1767
1410	694	1766
1411	695	1766
1412	695	1766
1413	696	1765
1414	696	1765
1415	697	1764
1416	697	1764
1417	698	1763
1418	698	1763
1419	699	1762
1420	699	1762
1421	700	1762
1422	700	1761
1423	701	1761
1424	701	1761
1425	702	1760
1426	703	1760
1427	703	1759
1428	704	1759
1429	704	1759
1430	705	1758
1431	705	1758
1432	706	1758
1433	706	1757
1434	707	1757
1435	707	1757
1436	708	1756
1437	709	1756
1438	709	1756
1439	710	1755
1440	710	1755
1441	711	1755
1442	711	1754
1443	712	1754
1444	712	1753
1445	713	1753
1446	714	1753
1447	714	1752
1448	714	1751
1449	715	1751
1450	715	1750
1451	716	1750
1452	716	1749
1453	717	1748
1454	717	1748
1455	718	1747
1456	718	1747
1457	718	1746
1458	719	1745
1459	719	1745
1460	720	1744
1461	720	1744
1462	721	1743
1463	721	1743
1464	722	1742
1465	722	1741
1466	723	1741
1467	723	1740
1468	723	1740
1469	724	1739
1470	724	1739
1471	725	1738
1472	725	1738
1473	726	1737
1474	726	1737
1475	727	1736
1476	727	1736
1477	728	1735
1478	728	1735
1479	729	1734
1480	729	1733
1481	730	1733
1482	730	1732
1483	731	1732
1484	731	1731
1485	732	1731
1486	732	1730
1487	732	1729
1488	733	1729
1489	733	1728
1490	734	1728
1491	734	1727
1492	735	1727
1493	735	1726
1494	736	1726
1495	736	1725
1496	737	1725
1497	738	1725
1498	738	1724
1499	738	1724
1500	739	1723
1501	739	1723
1502	740	1722
1503	740	1722
1504	741	1721
1505	741	1721
1506	742	1721
1507	742	1720
1508	743	1719
1509	743	1719
1510	744	1718
1511	744	1718
1512	745	1717
1513	745	1717
